id,content
1016793444,"事件:内存溢出(OUT_OF_MEMORY),级别:FATAL,域:事后监督(1015),实例:201-tongweb1（5041),IP:6.1.15.201,指标:,值:-1.0,事务ID:4938175898692754362,信息:无"
1016800386,"事件:事后监督业务积压过多(阈值100)(指标事件),级别:FATAL,域:事后监督(1015),实例:（0),IP:,指标:bad_response_active_service,值:101.0,事务ID:0,信息:value>100"
1016801966,"事件:服务队列积压数量过多(阈值60)(指标事件),级别:FATAL,域:终端安全管理系统(1032),实例:sc71nac-server（10715),IP:6.1.11.71,指标:bad_response_active_service,值:70.0,事务ID:0,信息:value>59"
1015571834,磁盘 / 使用率超过90%
1015572304,"事件:-DB SQL响应时间过长(BAD_RESPONSE_TIME_SQL),级别:NORMAL,域:终端安全管理系统(1032),实例:76AM（7601),IP:16.1.19.76,指标:,值:32049.0,事务ID:8284348732402053172,信息:无"
1015670534, 综合前置_调用人行身份核实失败，当前值：45事件数。
1015690718,redis连接少于10
1015714557,mysql从库连接异常
1015717078,"6.1.16.36/6.1.16.36/oracle/核心业务系统,指标检测连续性告警"
1015718185,"6.1.16.36/6.1.16.36/oracle/核心业务系统,指标检测随机丢失率告警"
1015799823,"事件:延迟服务队列积压数量过多(阈值30)(指标事件),级别:FATAL,域:核心网关(1009),实例:91gatewayserver（16915),IP:6.1.16.91,指标:bad_response_active_service,值:55.0,事务ID:0,信息:value>29"
1015832052,磁盘 /home/agriculture/mcms 使用率超过80%
1015862400," oracle数据库ORA错误，事件时间：2023/07/19 12:00:07，
设备IP：6.1.13.65，
错误码：ORA-235，
事件数：1
"
1015975266,oracle归档空间:ARCHDG/已使用75%
1015980628,内存使用率100%
1016015839,MySQL当前连接数超过300
1016036409,raid卡电池异常
1016571731,"事件:测试消息-终端安全服务数量异常（value<70）(指标事件),级别:FATAL,域:终端安全管理系统(1032),实例:（0),IP:,指标:alive_inst_count,值:64.0,事务ID:0,信息:value<70"
1016624637,"事件:柜面本地服务数量异常（正常值为82）(指标事件),级别:FATAL,域:柜面（本地）(1000),实例:（0),IP:,指标:alive_inst_count,值:81.0,事务ID:0,信息:value<82"
1016656335,nas节点状态异常：6.1.13.36:/mivs
