content,label,EventId,model_label,model_prob,T
128.20.65.74ORACLE LOG Error:ORA-06512: at line 34ORACLE ORA Error,数据库错误,21,数据库错误,0.9181923270225525,1
"2023年11月13日 10:27:46,二层主机房二,主机房二温湿度12,湿度,湿度过低报警,状态告警,值为29.51",通道湿度异常,41,温度过高报警,0.9010254144668579,0
"2023年11月13日 10:04:23,二层主机房二,主机房二温湿度12,湿度,湿度过低报警,状态告警,值为28.97",通道湿度异常,41,温度过高报警,0.8973524570465088,0
"2023年11月13日 09:54:41,二层主机房二,主机房二温湿度12,湿度,湿度过低报警,状态告警,值为29.09",通道湿度异常,41,温度过高报警,0.8988162279129028,0
"2023年11月13日 07:23:09,二层主机房二,主机房二温湿度12,湿度,湿度过低报警,状态告警,值为29.2",通道湿度异常,41,温度过高报警,0.9115606546401978,0
"2023年11月13日 07:11:55,二层主机房二,主机房二温湿度12,湿度,湿度过低报警,状态告警,值为29.4",通道湿度异常,41,温度过高报警,0.9058735966682434,0
128.194.51.12rman-status on CRSDB:1数据库CRSDB RMAN异常,数据库状态异常,51,数据库状态异常,0.5983104705810547,1
127.0.0.1Zabbix queue over 10 minutes:324More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52,Zabbix 队列延迟,0.9569070339202881,1
Zabbix serverZabbix queue over 10 minutes:325More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,53,Zabbix 队列延迟,0.9589939713478088,1
172.18.58.48 EPCC001491 应用请求前置监控服务连接或响应超时,前置服务超时,56,前置服务超时,0.9492456316947937,1
172.18.58.49 EPCC001491 应用请求前置监控服务连接或响应超时,前置服务超时,56,前置服务超时,0.9489656686782837,1
172.18.82.78 CUPS002003 通讯网关ECGW异常或超时,通讯异常,59,设备通讯异常,0.07603521645069122,0
172.18.82.79 CUPS002003 通讯网关ECGW异常或超时,通讯异常,59,设备通讯异常,0.08386887609958649,0
127.0.0.1Zabbix queue over 10 minutes:446More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52,Zabbix 队列延迟,0.9569070339202881,1
127.0.0.1Zabbix queue over 10 minutes:439More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52,Zabbix 队列延迟,0.9569070339202881,1
Zabbix serverZabbix queue over 10 minutes:993More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,53,Zabbix 队列延迟,0.9589939713478088,1
128.20.72.88ORACLE-LOG-ORA:ORA-06512: at line 1ORACLE-LOG-ORA,数据库错误,73,数据库错误,0.9176878929138184,1
昆明分行串口服务器通信状态:断线报警,通讯异常,74,服务器通信断线,0.9146175384521484,0
"2023年11月11日 04:30:29,二层主机房二,新网络机房漏水02,电流异常,电流异常告警,状态告警,值为1",漏水告警,78,漏水告警,0.9274349212646484,1
"2023年11月11日 04:26:54,二层主机房二,新网络机房漏水02,电流异常,电流异常告警,状态告警,值为1",漏水告警,78,漏水告警,0.928184449672699,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:20, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,80,数据库状态异常,0.8972856998443604,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:21, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,80,数据库状态异常,0.8971796035766602,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:20, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,81,数据库状态异常,0.8972856998443604,1
172.18.81.37 BPH001062 人行前置机A到人行2900A异常，172.18.81.37 BPH001072 人行前置机B到人行2900A异常,前置机连通性异常,82,前置机连通性异常,0.938453733921051,1
172.18.81.36 BPH001062 人行前置机A到人行2900A异常，172.18.81.36 BPH001072 人行前置机B到人行2900A异常,前置机连通性异常,82,前置机连通性异常,0.9383708238601685,1
172.18.80.2 FXPS001031 人行PMTS前置异常,前置机服务异常,83,前置机服务异常,0.9398297071456909,1
172.18.80.1 FXPS001031 人行PMTS前置异常,前置机服务异常,83,前置机服务异常,0.9417486190795898,1
172.18.81.37 BPH001066 人行2900A节点维护,节点维护,84,节点维护,0.9396657943725586,1
172.18.81.36 BPH001066 人行2900A节点维护,节点维护,84,节点维护,0.9392359852790833,1
172.18.81.37 BPH001063 人行前置机A到人行2900B异常，172.18.81.37 BPH001073 人行前置机B到人行2900B异常,前置机连通性异常,82,前置机连通性异常,0.938453733921051,1
172.18.81.36 BPH001063 人行前置机A到人行2900B异常，172.18.81.36 BPH001073 人行前置机B到人行2900B异常,前置机连通性异常,82,前置机连通性异常,0.9383708238601685,1
