content,label,model_label,model_prob,T
128.20.65.74ORACLE LOG Error:ORA-06512: at line 34ORACLE ORA Error,数据库错误,数据库错误,0.8734519481658936,1
128.194.51.12rman-status on CRSDB:1数据库CRSDB RMAN异常,数据库状态异常,数据库状态异常,0.36648309230804443,1
127.0.0.1Zabbix queue over 10 minutes:324More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9368449449539185,1
Zabbix serverZabbix queue over 10 minutes:325More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9370099902153015,1
172.18.58.48 EPCC001491 应用请求前置监控服务连接或响应超时,前置服务超时,前置服务超时,0.9284306764602661,1
172.18.58.49 EPCC001491 应用请求前置监控服务连接或响应超时,前置服务超时,前置服务超时,0.9286985397338867,1
127.0.0.1Zabbix queue over 10 minutes:446More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9368449449539185,1
127.0.0.1Zabbix queue over 10 minutes:439More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9368449449539185,1
Zabbix serverZabbix queue over 10 minutes:993More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9370099902153015,1
"atmp 1db状态异常,java.lang.Exception: java.net.ConnectException: Connection refused (Connection refused)",数据库状态异常,数据库状态异常,0.7745677828788757,1
"atmp 2db状态异常,java.lang.Exception: java.net.ConnectException: Connection refused (Connection refused)",数据库状态异常,数据库状态异常,0.730610191822052,1
128.20.72.88ORACLE-LOG-ORA:ORA-06512: at line 1ORACLE-LOG-ORA,数据库错误,数据库错误,0.8848350644111633,1
"2023年11月11日 04:30:29,二层主机房二,新网络机房漏水02,电流异常,电流异常告警,状态告警,值为1",漏水告警,漏水告警,0.8968008756637573,1
"2023年11月11日 04:26:54,二层主机房二,新网络机房漏水02,电流异常,电流异常告警,状态告警,值为1",漏水告警,漏水告警,0.8950045108795166,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:20, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,数据库状态异常,0.8929185271263123,1
