content,label,model_label,model_prob,T
128.18.65.105ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9718243479728699,1
128.18.70.24ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9717105627059937,1
128.18.65.133ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9718243479728699,1
128.18.86.136ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9714972972869873,1
128.20.65.74ORACLE LOG Error:ORA-06512: at line 34ORACLE ORA Error,数据库错误,数据库错误,0.9593815803527832,1
128.20.69.231ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9719586968421936,1
128.18.86.10ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9714972972869873,1
128.18.158.90ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9705113172531128,1
128.18.86.45ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9714972972869873,1
128.194.51.12rman-status on CRSDB:1数据库CRSDB RMAN异常,数据库状态异常,数据库状态异常,0.8664986491203308,1
127.0.0.1Zabbix queue over 10 minutes:324More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9689277410507202,1
Zabbix serverZabbix queue over 10 minutes:325More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9673593044281006,1
172.18.58.48 EPCC001491 应用请求前置监控服务连接或响应超时,前置服务超时,前置服务超时,0.967212975025177,1
172.18.58.49 EPCC001491 应用请求前置监控服务连接或响应超时,前置服务超时,前置服务超时,0.9671630859375,1
127.0.0.1Zabbix queue over 10 minutes:446More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9689277410507202,1
128.20.71.85ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9718063473701477,1
128.18.163.1ORACLE-RMAN备份:0ORACLE RMAN备份失败,备份失败,备份失败,0.9700848460197449,1
127.0.0.1Zabbix queue over 10 minutes:439More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9689277410507202,1
Zabbix serverZabbix queue over 10 minutes:993More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9673593044281006,1
128.20.72.88ORACLE-LOG-ORA:ORA-06512: at line 1ORACLE-LOG-ORA,数据库错误,数据库错误,0.963822066783905,1
昆明分行串口服务器通信状态:断线报警,通讯异常,通讯异常,0.8171651363372803,1
"2023年11月11日 04:30:29,二层主机房二,新网络机房漏水02,电流异常,电流异常告警,状态告警,值为1",漏水告警,漏水告警,0.9653761386871338,1
"2023年11月11日 04:26:54,二层主机房二,新网络机房漏水02,电流异常,电流异常告警,状态告警,值为1",漏水告警,漏水告警,0.9656755328178406,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:20, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,数据库状态异常,0.968380868434906,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:21, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,数据库状态异常,0.9683915972709656,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 22:46:20, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,数据库状态异常,0.968380868434906,1
172.18.81.37 BPH001062 人行前置机A到人行2900A异常，172.18.81.37 BPH001072 人行前置机B到人行2900A异常,前置机连通性异常,前置机连通性异常,0.9658024907112122,1
172.18.81.36 BPH001062 人行前置机A到人行2900A异常，172.18.81.36 BPH001072 人行前置机B到人行2900A异常,前置机连通性异常,前置机连通性异常,0.9657007455825806,1
172.18.80.2 FXPS001031 人行PMTS前置异常,前置机服务异常,前置机服务异常,0.9706915616989136,1
172.18.80.1 FXPS001031 人行PMTS前置异常,前置机服务异常,前置机服务异常,0.9697956442832947,1
172.18.81.37 BPH001066 人行2900A节点维护,节点维护,节点维护,0.9698362946510315,1
172.18.81.36 BPH001066 人行2900A节点维护,节点维护,节点维护,0.9697751998901367,1
172.18.81.37 BPH001063 人行前置机A到人行2900B异常，172.18.81.37 BPH001073 人行前置机B到人行2900B异常,前置机连通性异常,前置机连通性异常,0.9658024907112122,1
172.18.81.36 BPH001063 人行前置机A到人行2900B异常，172.18.81.36 BPH001073 人行前置机B到人行2900B异常,前置机连通性异常,前置机连通性异常,0.9657007455825806,1
172.18.81.37 BPH001067 人行2900B节点维护,节点维护,节点维护,0.9698362946510315,1
172.18.81.36 BPH001067 人行2900B节点维护,节点维护,节点维护,0.9697751998901367,1
127.0.0.1Zabbix queue over 10 minutes:133More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,Zabbix 队列延迟,0.9689277410507202,1
"备机丢失告警(TBASE_SLAVE_LOST_WARNING), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 16:13:37, message: The Node(ccs2_80:ccs2_dn001:172.18.163.223:11004) lostes the last synchronous slave. these lost nodes is (172.18.163.222:11004)",备机丢失,备机丢失,0.9749060273170471,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 16:13:34, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,数据库状态异常,0.9681936502456665,1
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 16:13:34, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,数据库状态异常,0.9681936502456665,1
Nov  9 09:18:15 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,IP SLA状态变更,0.9742432832717896,1
10.194.12.124 NDS006001 分行应用到总行应用异常,应用状态异常,应用状态异常,0.9532738924026489,1
10.194.12.103 NDS006001 分行应用到总行应用异常,应用状态异常,应用状态异常,0.9548346400260925,1
10.194.12.130 NDS006001 分行应用到总行应用异常,应用状态异常,应用状态异常,0.9554392099380493,1
172.18.80.2 FXPS001033 人行PMTS前置异常,前置机服务异常,前置机服务异常,0.9706915616989136,1
172.18.80.1 FXPS001033 人行PMTS前置异常,前置机服务异常,前置机服务异常,0.9697956442832947,1
172.18.81.37 BPH001068 人行0030A节点维护,节点维护,节点维护,0.9698362946510315,1
172.18.81.36 BPH001068 人行0030A节点维护,节点维护,节点维护,0.9697751998901367,1
172.18.80.2 FXPS001034 人行PMTS前置异常,前置机服务异常,前置机服务异常,0.9706915616989136,1
172.18.80.1 FXPS001034 人行PMTS前置异常,前置机服务异常,前置机服务异常,0.9697956442832947,1
172.18.81.37 BPH001065 人行前置机A到人行0030B异常，172.18.81.37 BPH001075 人行前置机B到人行0030B异常,前置机连通性异常,前置机连通性异常,0.9658024907112122,1
172.18.81.36 BPH001065 人行前置机A到人行0030B异常，172.18.81.36 BPH001075 人行前置机B到人行0030B异常,前置机连通性异常,前置机连通性异常,0.9657007455825806,1
172.18.81.37 BPH001069 人行0030B节点维护,节点维护,节点维护,0.9698362946510315,1
172.18.81.36 BPH001069 人行0030B节点维护,节点维护,节点维护,0.9697751998901367,1
